age,name,sex,vowel,stress,word,F1,F2,t
54,SB,F,AH,0,OF,442.3,1414.4,203.178
54,SB,F,UH,1,YOU,447.7,856.9,203.32
54,SB,F,IH,1,IN,497.7,2504,203.353
54,SB,F,AH,0,THE,569.8,1612.3,203.51
54,SB,F,AW,1,HOUSE,906.1,1540.4,203.647
54,SB,F,AH,1,BUT,424.3,831.7,204.994
54,SB,F,IY,1,WE,359.3,2514.8,205.376
54,SB,F,EY,1,PLAYED,710.5,1704,205.587
54,SB,F,AW,1,OUT,724.4,2017.1,205.756
54,SB,F,AO,1,ALL,604.9,842.5,205.983
54,SB,F,EY,1,DAY,751.5,1875.8,206.387
54,SB,F,ER,0,FROM,406.1,877.9,206.741
54,SB,F,AO,1,MORNING,565,895.9,206.964
54,SB,F,IH,0,MORNING,556.6,1823.8,207.147
54,SB,F,UH,1,YOU,646.7,1618.1,207.384
